DBID,Date,Time,Finder Name,Contact No.,Animal Type,Species,Age,Alive/Dead,Area,State,Mile Marker,High Tide Dist.,Longitude,Latitude,Est/Exact,Length,Width,Weight,Sex,Entangled,Entangling Item,Injured,Injury Desc.,Notes,,,,,,,,,,,,,,,,,,,,,,,
588,02-02-99,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Seabright Beach,California,0,0,-122.007,36.963,Estimate,100,0,0,Male,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
589,02-02-99,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Seabright Beach,California,0,0,-122.007,36.963,Estimate,95,0,0,Male,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
590,04-02-99,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,La Jolla,California,0,0,-117.279,32.845,Estimate,130,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
591,01-04-99,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Carmel Beach,California,0,0,-121.929,36.549,Estimate,100,0,0,Female,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
592,12-09-99,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Asilomar Beach,California,0,0,-121.942,36.617,Estimate,100,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
593,07-09-01,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Asilomar Beach,California,0,0,-121.942,36.617,Estimate,96,0,0,Female,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
594,29-07-02,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Golden Gate National Recreational Area,California,0,0,-122.536,37.83,Estimate,107,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
595,30-07-02,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Manresa State Beach,California,0,0,-121.854,36.919,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
596,01-08-02,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,"Sunset Beach, Seaside",Oregon,0,0,-123.945,46.104,Estimate,98,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
597,04-03-03,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Bodega Bay,California,0,0,-123.068,38.335,Estimate,120,0,0,Male,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
598,22-06-03,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Seacliff State Beach,California,0,0,-121.917,36.973,Estimate,113,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
599,26-08-03,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,"Ocean Beach, San Francisco",California,0,0,-122.512,37.768,Estimate,102,0,0,Male,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
600,19-05-05,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,"Casper Beach, Mendocino County",California,0,0,-123.82,39.36,Estimate,122,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
601,17-07-05,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,"Pacific Rim National Park, Vancouver Island, Bc","British Columbia, Canada",0,0,-124.727,48.61,Estimate,0,0,0,No Data,No Data,No Data,No Data,,Pacific Rim National Park report,,,,,,,,,,,,,,,,,,,,,,,
602,17-03-06,00:00,no data,no data,Shark,Salmon Shark,no data,No Data,Santa Cruz,California,0,0,-121.021,36.963,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
603,14-08-06,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,"Pacific Rim National Park, Vancouver Island, Bc","British Columbia, Canada",0,0,-124.727,48.61,Estimate,0,0,0,No Data,No Data,No Data,No Data,,Pacific Rim National Park report,,,,,,,,,,,,,,,,,,,,,,,
604,31-12-06,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Rio Del Mar Beach,California,0,0,-121.892,36.959,Estimate,99,0,0,Male,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
605,25-04-07,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Monterey Bay,California,0,0,-121.021,36.963,Estimate,122,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
606,27-06-07,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,"Pacific Rim National Park, Vancouver Island, Bc","British Columbia, Canada",0,0,-124.727,48.61,Estimate,0,0,0,No Data,No Data,No Data,No Data,,Pacific Rim National Park report,,,,,,,,,,,,,,,,,,,,,,,
607,01-07-07,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Capitola,California,0,0,-121.953,36.971,Estimate,0,0,0,Male,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
608,03-07-07,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Limantour Beach,California,0,0,-122.879,36.024,Estimate,77,0,0,Female,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
609,08-07-07,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Santa Cruz,California,0,0,-121.021,36.963,Estimate,83,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
610,18-07-07,00:00,no data,no data,Shark,Salmon Shark,no data,No Data,Rockaway Beach,Oregon,0,0,-123.9453,45.6199,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
611,04-08-07,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Carmel,California,0,0,-121.939,36.551,Estimate,95,0,0,Female,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
612,06-08-07,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Arch Cape,Oregon,0,0,-123.963,45.828,Estimate,150,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
613,07-08-07,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Capitola Wharf,California,0,0,-121.953,36.971,Estimate,104,0,0,Female,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
614,07-08-07,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Halfmoon Bay,California,0,0,-122.445,37.461,Estimate,101,0,0,Male,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
615,08-08-07,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Shishi Coast,Washington,0,0,-124.6799,48.2754,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
616,15-08-07,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Bandon State Park,Oregon,0,0,-124.442,43.049,Estimate,0,0,0,Female,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
617,15-08-07,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,"Bandon Beach, Coos County",Oregon,0,0,-124.423,43.09,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
618,18-08-07,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,North Clatsop Beach,Oregon,0,0,-123.975,46.163,Estimate,93,0,0,Female,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
619,21-08-07,00:00,Trisha Wymore,no data,Shark,Salmon Shark,no data,No Data,Between South Umpqua Jetty And Ten Mile Creek,Oregon,0,0,-124.219,43.606,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
620,21-08-07,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,"Bandon Beach, Coos County",Oregon,0,0,-124.442,43.051,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
621,21-08-07,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,"Bandon Beach, Coos County",Oregon,0,0,-124.423,43.09,Estimate,0,0,0,Female,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
622,23-08-07,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,"Pacific Rim National Park, Vancouver Island, Bc","British Columbia, Canada",0,0,-124.727,48.61,Estimate,0,0,0,No Data,No Data,No Data,No Data,,Pacific Rim National Park report,,,,,,,,,,,,,,,,,,,,,,,
623,23-08-07,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,"Salishan Beach, Lincoln City",Oregon,0,0,-124.029,44.911,Estimate,100,0,0,Female,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
624,24-08-07,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Coos County,Oregon,0,0,-124.208,43.664,Estimate,91,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
625,03-09-07,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,"Whiskey Run Beach, Coos County",Oregon,0,0,-124.246,43.221,Estimate,0,0,0,Male,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
626,12-09-07,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Seaside Beach,Oregon,0,0,-123.935,45.993,Estimate,87,0,0,Female,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
627,18-10-07,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,North Clatsop Beach,Oregon,0,0,-123.975,46.163,Estimate,107,0,0,Female,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
628,22-10-07,00:00,Matt Knoblauch,no data,Shark,Salmon Shark,no data,No Data,Rockaway Beach,Oregon,0,0,-123.947,45.612,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
629,24-11-07,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Monastery Beach,California,0,0,-121.927,36.523,Estimate,102,0,0,Female,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
630,11-12-07,00:00,Roger Clark,no data,Shark,Salmon Shark,no data,No Data,D River Motel,Oregon,0,0,-124.019,44.967,Estimate,60,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
631,05-03-08,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,San Onofre,California,0,0,-117.591,33.384,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
632,04-07-08,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Coos County,Oregon,0,0,-124.432,43.109,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
633,25-07-08,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Coos County,Oregon,0,0,-124.444,43.067,Estimate,0,0,0,Male,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
634,01-08-08,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Coos County,Oregon,0,0,-124.444,43.067,Estimate,61,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
635,04-08-08,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,"Pacific Rim National Park, Vancouver Island, Bc","British Columbia, Canada",0,0,-124.727,48.61,Estimate,90,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
636,06-08-08,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Arch Cape,Oregon,0,0,-123.942,45.718,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
637,13-08-08,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Arcadia Beach,Oregon,0,0,-123.951,45.844,Estimate,95,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
638,18-08-08,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Gearhart Beach,Oregon,0,0,-123.933,46.035,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
639,21-08-08,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Cannon Beach,Oregon,0,0,-123.966,45.889,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
640,22-08-08,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Seaside,Oregon,0,0,-123.935,45.993,Estimate,86,0,0,Male,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
641,23-08-08,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Seaside,Oregon,0,0,-123.935,45.993,Estimate,96,0,0,Female,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
642,25-08-08,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Lincoln County,Oregon,0,0,-124.069,44.6,Estimate,96,0,0,Female,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
643,25-08-08,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Lincoln County,Oregon,0,0,-124.069,44.6,Estimate,96,0,0,Male,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
644,25-08-08,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Lincoln County,Oregon,0,0,-124.069,44.6,Estimate,98,0,0,Male,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
645,31-08-08,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Arcadia Beach,Oregon,0,0,-123.951,45.844,Estimate,95,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
646,31-08-08,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Clatsop County,Oregon,0,0,-123.935,46.067,Estimate,127,0,0,Female,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
647,01-09-08,00:00,no data,no data,Shark,Salmon Shark,no data,No Data,Agate Beach,Oregon,0,0,-123.9615,45.8461,Estimate,198,0,0,Male,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
648,04-09-08,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Gearhart Beach,Oregon,0,0,-123.933,46.035,Estimate,89,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
649,05-09-08,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Gearhart Beach,Oregon,0,0,-123.933,46.035,Estimate,95,0,0,Male,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
650,05-09-08,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,"Mad River Beach, Humboldt County",California,0,0,-124.134,40.934,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
651,11-09-08,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Monterey Bay,California,0,0,-121.021,36.963,Estimate,93,0,0,Male,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
652,12-09-08,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Seaside,Oregon,0,0,-123.935,45.993,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
653,18-09-08,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Delray,Oregon,0,0,-123.932,46.052,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
654,24-09-08,00:00,no data,no data,Shark,Salmon Shark,no data,No Data,"Vancouver Isl. U., Bc","British Columbia, Canada",0,0,-125.7725,49.3276,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
655,01-10-08,00:00,no data,no data,Shark,Salmon Shark,no data,No Data,North 1 Mile Agate Beach,Oregon,0,0,-123.9615,45.8461,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
656,05-11-08,00:00,no data,no data,Shark,Salmon Shark,no data,No Data,Sandlake,Oregon,0,0,-123.9616,45.2836,Estimate,92,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
657,12-11-08,00:00,no data,no data,Shark,Salmon Shark,no data,No Data,Seaside,Oregon,0,0,-123.935,45.993,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
658,24-11-08,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,"Del Monte Beach, Monterey",California,0,0,-121.861,36.609,Estimate,86,0,0,Female,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
659,19-12-08,00:00,no data,no data,Shark,Salmon Shark,no data,No Data,Lincoln City,Oregon,0,0,-124.069,44.6,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
660,03-01-09,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Seaside,Oregon,0,0,-123.935,45.993,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
661,31-01-09,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Coos County,Oregon,0,0,-124.423,43.081,Estimate,112,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
662,30-04-09,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Malibu,California,0,0,-121.854,36.919,Estimate,122,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
663,04-05-09,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,"La Piedra Beach, North Of Trancas, Orange County(?)",California,0,0,-118.89,34.04,Estimate,118,0,0,Female,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
664,23-07-09,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Arch Cape,Oregon,0,0,-123.963,45.828,Estimate,100,0,0,Female,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
665,26-07-09,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Pismo Beach,California,0,0,-120.643,35.141,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
666,31-07-09,00:00,no data,no data,Shark,Salmon Shark,no data,No Data,Yachats,Oregon,0,0,-124.1087,44.312,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
667,04-08-09,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Cape Kiwanda,Oregon,0,0,-123.973,45.215,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
668,11-08-09,00:00,no data,no data,Shark,Salmon Shark,no data,No Data,"Mouth Of Alsea, Waldport",Oregon,0,0,-124.0782,44.4206,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
669,14-08-09,00:00,no data,no data,Shark,Salmon Shark,no data,No Data,Garabaldi,Oregon,0,0,-123.9159,45.5549,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
670,15-08-09,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Arcadia State Park,Oregon,0,0,-123.951,45.844,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
671,15-08-09,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Winchuck River (South Of Brookings),Oregon,0,0,-124.21,42,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
672,16-08-09,00:00,no data,no data,Shark,Salmon Shark,no data,No Data,Seal Rock,Oregon,0,0,-124.0851,44.4967,Estimate,0,0,0,Male,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
673,16-08-09,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,"Sunset Beach, Seaside",Oregon,0,0,-123.945,46.104,Estimate,98,0,0,Female,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
674,17-08-09,00:00,no data,no data,Shark,Salmon Shark,no data,Dead,"Collins Creek State Park, Seal Rock",Oregon,0,0,-124.083,44.48,Estimate,76,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
675,17-08-09,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Otter Rock,Oregon,0,0,-124.062,44.744,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
676,17-08-09,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Seaside,Oregon,0,0,-123.932,45.998,Estimate,89,0,0,Male,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
677,19-08-09,00:00,no data,no data,Shark,Salmon Shark,no data,No Data,Waldport,Oregon,0,0,-124.0782,44.4206,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
678,23-08-09,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,"Sunset Beach, Seaside",Oregon,0,0,-123.945,46.104,Estimate,93,0,0,Male,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
679,23-08-09,00:00,no data,no data,Shark,Salmon Shark,no data,No Data,Yachats,Oregon,0,0,-124.1087,44.312,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
680,24-08-09,00:00,no data,no data,Shark,Salmon Shark,no data,No Data,Driftwood Shores (Florence),Oregon,0,0,-124.1351,44.0361,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
681,25-08-09,00:00,no data,no data,Shark,Salmon Shark,no data,No Data,Waldport,Oregon,0,0,-124.0782,44.4206,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
682,26-08-09,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Sunset Beach,Oregon,0,0,-123.945,46.104,Estimate,95,0,0,Male,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
683,02-09-09,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,"Nye Beach, Newport",Oregon,0,0,-124.06,44.64,Estimate,100,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
684,02-09-09,00:00,no data,no data,Shark,Salmon Shark,no data,No Data,"Nye Beach, Newport",Oregon,0,0,-124.0631,44.6395,Estimate,0,0,0,No Data,No Data,No Data,No Data,,in freezer,,,,,,,,,,,,,,,,,,,,,,,
685,03-09-09,00:00,no data,no data,Shark,Salmon Shark,no data,No Data,"Shilo Inn, Newport",Oregon,0,0,-124.0647,44.6324,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
686,08-09-09,00:00,no data,no data,Shark,Salmon Shark,no data,No Data,"North Jetty, Newport",Oregon,0,0,-124.07247,44.61528,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
687,10-09-09,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Delray Beach,Oregon,0,0,-123.932,46.052,Estimate,81,0,0,Female,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
688,11-09-09,00:00,no data,no data,Shark,Salmon Shark,no data,No Data,"Yaquina Bay Lighthouse,Newport",Oregon,0,0,-124.0628,44.6233,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
689,15-09-09,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,Coos County,Oregon,0,0,-124.246,43.494,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
690,16-09-09,00:00,no data,no data,Shark,Salmon Shark,no data,No Data,Agate Beach,Oregon,0,0,-123.9615,45.8461,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
691,17-09-09,00:00,no data,no data,Shark,Salmon Shark,no data,No Data,Seal Rock,Oregon,0,0,-124.0851,44.4967,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
692,17-09-09,00:00,no data,no data,Shark,Salmon Shark,no data,No Data,"Yaquina Head, Newport",Oregon,0,0,-124.0766,44.6749,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
693,20-09-09,00:00,no data,no data,Shark,Salmon Shark,no data,No Data,"Base Of The Stairs Near Stump Of Star Fish Point, Newport",Oregon,0,0,-124.061,44.67,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
694,24-09-09,00:00,no data,no data,Shark,Salmon Shark,no data,No Data,"94200 Hwy 101 S, Just South Of The Oregon House, Yachats",Oregon,174,0,-124.114503,44.195112,Exact,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
695,25-09-09,00:00,no data,no data,Shark,Salmon Shark,no data,No Data,"1/2 N. Yaquina, Newport",Oregon,0,0,-124.0658,44.6226,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
696,26-09-09,00:00,no data,no data,Shark,Salmon Shark,no data,No Data,S Of Manzanita,Oregon,0,0,-123.9393,45.7042,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
697,26-09-09,00:00,no data,no data,Shark,Salmon Shark,no data,No Data,Agate Beach,Oregon,0,0,-123.9615,45.8461,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
698,27-09-09,00:00,no data,no data,Shark,Salmon Shark,no data,No Data,"Quail St, Seal Rock",Oregon,0,0,-124.08327,44.4831,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
699,04-10-09,00:00,no data,no data,Shark,Salmon Shark,no data,No Data,"South Side Of Yaquina Head, Newport",Oregon,0,0,-124.0766,44.6749,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
700,12-10-09,00:00,no data,no data,Shark,Salmon Shark,no data,No Data,Devil's Punchbowl,Oregon,0,0,-124.0659,44.7477,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
701,19-12-09,00:00,no data,no data,Shark,Salmon Shark,no data,No Data,Salishan Spit,Oregon,0,0,-124.030217,44.9093,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
702,10-02-10,00:00,no data,no data,Shark,Salmon Shark,Juvenile,No Data,"Corona Del Mar, Newport (S Entrance Of Newport Harbor)",California,0,0,-117.886,33.595,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
